Sale_ID,Date,Store_ID,Product_ID,Units
1210,1/2/2022,1,1,1
1249,1/2/2022,1,1,1
1272,1/2/2022,1,1,1
1275,1/2/2022,1,1,1
1591,1/2/2022,1,1,1
1631,1/2/2022,1,1,1
1721,1/2/2022,1,1,1
2007,1/2/2022,1,1,1
2087,1/2/2022,1,1,1
2810,1/4/2022,1,1,1
2859,1/4/2022,1,1,1
3017,1/4/2022,1,1,1
3077,1/4/2022,1,1,1
3268,1/4/2022,1,1,1
3507,1/4/2022,1,1,1
7025,1/8/2022,1,1,1
7097,1/8/2022,1,1,1
7893,1/8/2022,1,1,1
13684,1/15/2022,1,1,1
13695,1/15/2022,1,1,1
14574,1/15/2022,1,1,1
15459,1/17/2022,1,1,1
15799,1/17/2022,1,1,1
15955,1/17/2022,1,1,1
18685,1/21/2022,1,1,3
18961,1/21/2022,1,1,4
19029,1/21/2022,1,1,4
19765,1/21/2022,1,1,3
25538,1/28/2022,1,1,1
25599,1/28/2022,1,1,1
25613,1/28/2022,1,1,1
25659,1/28/2022,1,1,1
25923,1/28/2022,1,1,1
26065,1/28/2022,1,1,1
26227,1/28/2022,1,1,1
26442,1/28/2022,1,1,1
26506,1/28/2022,1,1,1
26632,1/29/2022,1,1,1
26644,1/29/2022,1,1,1
26716,1/29/2022,1,1,1
26725,1/29/2022,1,1,1
26844,1/29/2022,1,1,1
27219,1/29/2022,1,1,1
27264,1/29/2022,1,1,1
27288,1/29/2022,1,1,1
27337,1/29/2022,1,1,1
27407,1/29/2022,1,1,1
27465,1/29/2022,1,1,1
27493,1/29/2022,1,1,1
27640,1/29/2022,1,1,1
27696,1/29/2022,1,1,1
27786,1/29/2022,1,1,1
27811,1/29/2022,1,1,1
40911,2/12/2022,1,1,1
40972,2/12/2022,1,1,1
41211,2/12/2022,1,1,1
41377,2/12/2022,1,1,1
41448,2/12/2022,1,1,1
41484,2/12/2022,1,1,1
41563,2/12/2022,1,1,1
41977,2/12/2022,1,1,1
42015,2/12/2022,1,1,1
42304,2/12/2022,1,1,1
42306,2/12/2022,1,1,1
42354,2/12/2022,1,1,1
42401,2/12/2022,1,1,1
42425,2/12/2022,1,1,1
43558,2/14/2022,1,1,1
43674,2/14/2022,1,1,1
43778,2/14/2022,1,1,1
43826,2/14/2022,1,1,1
43856,2/14/2022,1,1,1
44091,2/14/2022,1,1,1
45982,2/17/2022,1,1,1
46082,2/17/2022,1,1,1
46112,2/17/2022,1,1,1
46150,2/17/2022,1,1,1
46152,2/17/2022,1,1,1
46185,2/17/2022,1,1,1
46283,2/17/2022,1,1,1
46377,2/17/2022,1,1,1
46507,2/17/2022,1,1,1
46590,2/17/2022,1,1,1
46631,2/17/2022,1,1,1
46703,2/17/2022,1,1,1
46993,2/17/2022,1,1,1
51137,2/22/2022,1,1,1
51666,2/22/2022,1,1,1
51764,2/22/2022,1,1,1
51791,2/22/2022,1,1,1
55025,2/26/2022,1,1,1
55041,2/26/2022,1,1,1
55102,2/26/2022,1,1,1
55169,2/26/2022,1,1,1
55185,2/26/2022,1,1,1
55294,2/26/2022,1,1,1
55371,2/26/2022,1,1,1
55409,2/26/2022,1,1,1
55443,2/26/2022,1,1,1
55670,2/26/2022,1,1,1
55748,2/26/2022,1,1,1
55750,2/26/2022,1,1,1
55969,2/26/2022,1,1,1
56006,2/26/2022,1,1,1
56061,2/26/2022,1,1,1
56253,2/26/2022,1,1,1
56289,2/26/2022,1,1,1
56346,2/26/2022,1,1,1
56405,2/26/2022,1,1,1
59044,3/2/2022,1,1,1
59129,3/2/2022,1,1,1
59165,3/2/2022,1,1,1
59203,3/2/2022,1,1,1
59231,3/2/2022,1,1,1
59267,3/2/2022,1,1,1
59403,3/2/2022,1,1,1
59573,3/2/2022,1,1,1
59677,3/2/2022,1,1,1
59995,3/2/2022,1,1,1
60022,3/3/2022,1,1,1
60044,3/3/2022,1,1,1
60100,3/3/2022,1,1,1
60102,3/3/2022,1,1,1
60105,3/3/2022,1,1,1
60199,3/3/2022,1,1,1
60240,3/3/2022,1,1,1
60294,3/3/2022,1,1,1
60354,3/3/2022,1,1,1
60404,3/3/2022,1,1,1
60604,3/3/2022,1,1,1
60715,3/3/2022,1,1,1
60773,3/3/2022,1,1,1
60914,3/3/2022,1,1,1
60990,3/3/2022,1,1,1
61015,3/3/2022,1,1,1
61033,3/3/2022,1,1,1
75472,3/18/2022,1,1,1
75676,3/18/2022,1,1,1
75901,3/18/2022,1,1,1
75942,3/18/2022,1,1,1
76010,3/18/2022,1,1,1
76115,3/18/2022,1,1,1
76164,3/18/2022,1,1,1
76176,3/18/2022,1,1,1
76611,3/18/2022,1,1,1
76635,3/18/2022,1,1,1
76649,3/18/2022,1,1,1
76937,3/18/2022,1,1,1
77015,3/18/2022,1,1,1
80262,3/22/2022,1,1,1
80345,3/22/2022,1,1,1
80407,3/22/2022,1,1,1
80429,3/22/2022,1,1,1
80436,3/22/2022,1,1,1
80458,3/22/2022,1,1,1
80481,3/22/2022,1,1,1
80490,3/22/2022,1,1,1
80529,3/22/2022,1,1,1
80544,3/22/2022,1,1,1
80587,3/22/2022,1,1,1
80606,3/22/2022,1,1,1
80639,3/22/2022,1,1,1
80771,3/22/2022,1,1,1
80798,3/22/2022,1,1,1
81848,3/24/2022,1,1,1
81849,3/24/2022,1,1,1
81963,3/24/2022,1,1,1
81988,3/24/2022,1,1,1
82058,3/24/2022,1,1,1
82274,3/24/2022,1,1,1
82312,3/24/2022,1,1,1
82339,3/24/2022,1,1,1
82350,3/24/2022,1,1,1
82511,3/24/2022,1,1,1
82629,3/24/2022,1,1,1
82633,3/24/2022,1,1,1
82800,3/24/2022,1,1,1
83002,3/25/2022,1,1,1
83089,3/25/2022,1,1,1
83152,3/25/2022,1,1,1
83161,3/25/2022,1,1,1
83202,3/25/2022,1,1,1
83231,3/25/2022,1,1,1
83291,3/25/2022,1,1,1
83485,3/25/2022,1,1,1
83526,3/25/2022,1,1,1
83636,3/25/2022,1,1,1
83647,3/25/2022,1,1,1
83705,3/25/2022,1,1,1
83779,3/25/2022,1,1,1
83799,3/25/2022,1,1,1
83907,3/25/2022,1,1,1
89599,4/1/2022,1,1,1
89608,4/1/2022,1,1,1
89641,4/1/2022,1,1,1
89797,4/1/2022,1,1,1
89822,4/1/2022,1,1,1
89890,4/1/2022,1,1,1
89896,4/1/2022,1,1,1
89978,4/1/2022,1,1,1
90005,4/1/2022,1,1,1
90037,4/1/2022,1,1,1
90190,4/1/2022,1,1,1
90233,4/1/2022,1,1,1
